CCI,Status,Published,contributor,Definition,Type,NIST800-53rev4,Control,NIST800-53rev3,Control,NIST800-53rev1,Control
CCI-003486,draft,11/8/2013,DISA FSO,The organization identifies the minimum personally identifiable information (PII) elements that are relevant and necessary to accomplish the legally authorized purpose of collection.,policy,4,DM-1 a,,,,
CCI-003487,draft,11/8/2013,DISA FSO,The organization limits the collection and retention of personally identifiable information (PII) to the minimum elements identified for the purposes described in the published privacy notice.,policy,4,DM-1 b,,,,
CCI-003488,draft,11/8/2013,DISA FSO,The organization limits the collection and retention of personally identifiable information (PII) to the minimum elements identified for the purposes which the individual has provided consent.,policy,4,DM-1 b,,,,
CCI-003489,draft,11/8/2013,DISA FSO,"The organization defines the frequency, minimally annually, for conducting reviews of its personally identifiable information (PII) holdings.",policy,4,DM-1 c,,,,
CCI-003490,draft,11/8/2013,DISA FSO,The organization conducts an initial evaluation of personally identifiable information (PII) holdings.,policy,4,DM-1 c,,,,
CCI-003491,draft,11/8/2013,DISA FSO,The organization establishes a schedule for regularly reviewing the personally identifiable information (PII) holdings on an organization-defined frequency to ensure that only PII identified in the notice is collected and retained.,policy,4,DM-1 c,,,,
CCI-003492,draft,11/8/2013,DISA FSO,The organization follows a schedule for regularly reviewing the personally identifiable information (PII) holdings on an organization-defined frequency to ensure that only PII identified in the notice is collected and retained.,policy,4,DM-1 c,,,,
CCI-003493,draft,11/8/2013,DISA FSO,The organization establishes a schedule for regularly reviewing the personally identifiable information (PII) holdings on an organization-defined frequency to ensure the PII continues to be necessary to accomplish the legally authorized purpose.,policy,4,DM-1 c,,,,
CCI-003494,draft,11/8/2013,DISA FSO,The organization follows a schedule for regularly reviewing the personally identifiable information (PII) holdings on an organization-defined frequency to ensure the PII continues to be necessary to accomplish the legally authorized purpose.,policy,4,DM-1 c,,,,
CCI-003495,draft,11/8/2013,DISA FSO,"The organization, where feasible and within the limits of technology, locates and removes/redacts specified personally identifiable information (PII).",policy,4,DM-1 (1),,,,
CCI-003496,draft,11/8/2013,DISA FSO,"The organization, where feasible and within the limits of technology, uses anonymization and de-identification techniques to permit use of the retained Privacy Act information while reducing its sensitivity and reducing the risk resulting from disclosure.",policy,4,DM-1 (1),,,,
CCI-003497,draft,11/8/2013,DISA FSO,The organization defines the time period for retaining each collection of personally identifiable information (PII) that is required to fulfill the purpose(s) identified in the published privacy notice or required by law.,policy,4,DM-2 a,,,,
CCI-003498,draft,11/8/2013,DISA FSO,The organization retains each collection of personally identifiable information (PII) for the organization-defined time period to fulfill the purpose(s) identified in the published privacy notice or as required by law.,policy,4,DM-2 a,,,,
CCI-003499,draft,11/8/2013,DISA FSO,"The organization disposes of, destroys, erases, and/or anonymizes the personally identifiable information (PII), regardless of the method of storage, in accordance with a NARA-approved record retention schedule.",policy,4,DM-2 b,,,,
CCI-003500,draft,11/8/2013,DISA FSO,"The organization disposes of, destroys, erases, and/or anonymizes the personally identifiable information (PII), regardless of the method of storage, in a manner that prevents loss, theft, misuse, or unauthorized access.",policy,4,DM-2 b,,,,
CCI-003501,draft,11/8/2013,DISA FSO,"The organization defines the techniques or methods to be employed to ensure the secure deletion or destruction of personally identifiable information (PII) (including originals, copies, and archived records).",policy,4,DM-2 c,,,,
CCI-003502,draft,11/8/2013,DISA FSO,"The organization uses organization-defined techniques or methods to ensure secure deletion or destruction of personally identifiable information (PII) (including originals, copies, and archived records).",policy,4,DM-2 c,,,,
CCI-003503,draft,11/8/2013,DISA FSO,"The organization, where feasible, configures its information systems to record the date personally identifiable information (PII) is collected, created, or updated.",policy,4,DM-2 (1),,,,
CCI-003504,deprecated,11/8/2013,DISA FSO,"The organization, where feasible, configures its information systems to record the date personally identifiable information (PII) is created.",policy,4,DM-2 (1),,,,
CCI-003505,deprecated,11/8/2013,DISA FSO,"The organization, where feasible, configures its information systems to record the date personally identifiable information (PII) is updated.",policy,4,DM-2 (1),,,,
CCI-003506,draft,11/8/2013,DISA FSO,"The organization, where feasible, configures its information systems to record when personally identifiable information (PII) is to be deleted or archived under an approved record retention schedule.",policy,4,DM-2 (1),,,,
CCI-003507,draft,11/8/2013,DISA FSO,The organization develops policies that minimize the use of personally identifiable information (PII) for testing.,policy,4,DM-3 a,,,,
CCI-003508,draft,11/8/2013,DISA FSO,The organization develops policies that minimize the use of personally identifiable information (PII) for training.,policy,4,DM-3 a,,,,
CCI-003509,draft,11/8/2013,DISA FSO,The organization develops policies that minimize the use of personally identifiable information (PII) for research.,policy,4,DM-3 a,,,,
CCI-003510,draft,11/8/2013,DISA FSO,The organization develops procedures that minimize the use of personally identifiable information (PII) for testing.,policy,4,DM-3 a,,,,
CCI-003511,draft,11/8/2013,DISA FSO,The organization develops procedures that minimize the use of personally identifiable information (PII) for training.,policy,4,DM-3 a,,,,
CCI-003512,draft,11/8/2013,DISA FSO,The organization develops procedures that minimize the use of personally identifiable information (PII) for research.,policy,4,DM-3 a,,,,
CCI-003513,draft,11/8/2013,DISA FSO,The organization implements controls to protect personally identifiable information (PII) used for testing.,policy,4,DM-3 b,,,,
CCI-003514,draft,11/8/2013,DISA FSO,The organization implements controls to protect personally identifiable information (PII) used for training.,policy,4,DM-3 b,,,,
CCI-003515,draft,11/8/2013,DISA FSO,The organization implements controls to protect personally identifiable information (PII) used for research.,policy,4,DM-3 b,,,,
CCI-003516,draft,11/8/2013,DISA FSO,"The organization, where feasible, uses techniques to minimize the risk to privacy of using personally identifiable information (PII) for research.",policy,4,DM-3 (1),,,,
CCI-003517,draft,11/8/2013,DISA FSO,"The organization, where feasible, uses techniques to minimize the risk to privacy of using personally identifiable information (PII) for testing.",policy,4,DM-3 (1),,,,
CCI-003518,draft,11/8/2013,DISA FSO,"The organization, where feasible, uses techniques to minimize the risk to privacy of using personally identifiable information (PII) for training.",policy,4,DM-3 (1),,,,
CCI-003519,draft,11/8/2013,DISA FSO,"The organization provides means, where feasible and appropriate, for individuals to authorize the collection of personally identifiable information (PII) prior to its collection.",policy,4,IP-1 a,,,,
CCI-003520,draft,11/8/2013,DISA FSO,"The organization provides means, where feasible and appropriate, for individuals to authorize the use of personally identifiable information (PII) prior to its collection.",policy,4,IP-1 a,,,,
CCI-003521,draft,11/8/2013,DISA FSO,"The organization provides means, where feasible and appropriate, for individuals to authorize the maintaining of personally identifiable information (PII) prior to its collection.",policy,4,IP-1 a,,,,
CCI-003522,draft,11/8/2013,,"The organization provides means, where feasible and appropriate, for individuals to authorize sharing of personally identifiable information (PII) prior to its collection.",policy,4,IP-1 a,,,,
CCI-003523,draft,11/8/2013,DISA FSO,The organization provides appropriate means for individuals to understand the consequences of decisions to approve or decline the authorization of the collection of personally identifiable information (PII).,policy,4,IP-1 b,,,,
CCI-003524,draft,11/8/2013,DISA FSO,The organization provides appropriate means for individuals to understand the consequences of decisions to approve or decline the authorization of the use of personally identifiable information (PII).,policy,4,IP-1 b,,,,
CCI-003525,draft,11/8/2013,DISA FSO,The organization provides appropriate means for individuals to understand the consequences of decisions to approve or decline the authorization of the dissemination of personally identifiable information (PII).,policy,4,IP-1 b,,,,
CCI-003526,draft,11/8/2013,DISA FSO,The organization provides appropriate means for individuals to understand the consequences of decisions to approve or decline the authorization of the retention of personally identifiable information (PII).,policy,4,IP-1 b,,,,
CCI-003527,draft,11/8/2013,DISA FSO,"The organization obtains consent, where feasible and appropriate, from individuals prior to any new uses or disclosure of previously collected personally identifiable information (PII).",policy,4,IP-1 c,,,,
CCI-003528,draft,11/8/2013,DISA FSO,The organization ensures that individuals are aware of all uses of personally identifiable information (PII) not initially described in the public notice that was in effect at the time the organization collected the PII.,policy,4,IP-1 d,,,,
CCI-003529,draft,11/8/2013,DISA FSO,"The organization ensures that individuals, where feasible, consent to all uses of personally identifiable information (PII) not initially described in the public notice that was in effect at the time the organization collected the PII.",policy,4,IP-1 d,,,,
CCI-003530,draft,11/8/2013,DISA FSO,The organization implements mechanisms to support itemized or tiered consent for specific uses of personally identifiable information (PII) data.,policy,4,IP-1 (1),,,,
CCI-003531,draft,11/8/2013,DISA FSO,The organization provides individuals the ability to have access to their personally identifiable information (PII) maintained in its system(s) of records.,policy,4,IP-2 a,,,,
CCI-003532,draft,11/8/2013,DISA FSO,The organization publishes rules governing how individuals may request access to records maintained in a Privacy Act system of records.,policy,4,IP-2 b,,,,
CCI-003533,draft,11/8/2013,DISA FSO,The organization publishes regulations governing how individuals may request access to records maintained in a Privacy Act system of records.,policy,4,IP-2 b,,,,
CCI-003534,draft,11/8/2013,DISA FSO,The organization publishes access procedures for Privacy Act systems of records in System of Records Notices (SORNs).,policy,4,IP-2 c,,,,
CCI-003535,draft,11/8/2013,DISA FSO,The organization adheres to Privacy Act requirements for the proper processing of Privacy Act requests.,policy,4,IP-2 d,,,,
CCI-003536,draft,11/8/2013,DISA FSO,The organization adheres to OMB policies and guidance for the proper processing of Privacy Act requests.,policy,4,IP-2 d,,,,
CCI-003537,draft,11/8/2013,DISA FSO,"The organization provides a process for individuals to have inaccurate personally identifiable information (PII) maintained by the organization corrected or amended, as appropriate.",policy,4,IP-3 a,,,,
CCI-003538,draft,11/8/2013,DISA FSO,"The organization establishes a process for disseminating corrections or amendments of the personally identifiable information (PII) to other authorized users of the PII, such as external information-sharing partners.",policy,4,IP-3 b,,,,
CCI-003539,draft,11/8/2013,DISA FSO,"The organization establishes a process, where feasible and appropriate, to notify affected individuals that their personally identifiable information (PII) information has been corrected or amended.",policy,4,IP-3 b,,,,
CCI-003540,draft,11/8/2013,DISA FSO,"The organization implements a process for receiving complaints, concerns, or questions from individuals about the organizational privacy practices.",policy,4,IP-4,,,,
CCI-003541,draft,11/8/2013,DISA FSO,"The organization implements a process for responding to complaints, concerns, or questions from individuals about the organizational privacy practices.",policy,4,IP-4,,,,
